config,config_name,problem,size,plan_length,nodes_expanded,memory_mb,runtime_s,success,timeout
lazy_wastar_5,Lazy Weighted A* (W=5),exp-8x8.pddl,8,264.0,107305.0,19.92578125,2.235891819000244,True,False
lazy_wastar_5,Lazy Weighted A* (W=5),exp-9x9.pddl,9,369.0,262175.0,32.95703125,4.297111749649048,True,False
eager_wastar,Eager Weighted A* (W=3),exp-2x2.pddl,2,10.0,26.0,9.984375,0.5382742881774902,True,False
eager_wastar,Eager Weighted A* (W=3),exp-3x3.pddl,3,21.0,32.0,9.984375,0.5434184074401855,True,False
eager_wastar,Eager Weighted A* (W=3),exp-4x4.pddl,4,38.0,73.0,9.984375,0.582705020904541,True,False
eager_wastar,Eager Weighted A* (W=3),exp-5x5.pddl,5,81.0,972.0,10.25,0.6425924301147461,True,False
eager_wastar,Eager Weighted A* (W=3),exp-6x6.pddl,6,118.0,7611.0,11.02734375,0.735206127166748,True,False
eager_wastar,Eager Weighted A* (W=3),exp-7x7.pddl,7,171.0,13796.0,12.20703125,1.187304973602295,True,False
eager_wastar,Eager Weighted A* (W=3),exp-8x8.pddl,8,232.0,68354.0,24.61328125,4.230493545532227,True,False
eager_wastar,Eager Weighted A* (W=3),exp-9x9.pddl,9,307.0,86262.0,28.34375,7.916121006011963,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-2x2.pddl,2,12.0,23.0,9.984375,0.5333654880523682,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-3x3.pddl,3,33.0,61.0,9.984375,0.5705034732818604,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-4x4.pddl,4,68.0,134.0,10.1171875,0.5627520084381104,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-5x5.pddl,5,107.0,198.0,10.25,0.5382323265075684,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-6x6.pddl,6,180.0,331.0,10.92578125,0.532020092010498,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-7x7.pddl,7,291.0,869.0,12.4453125,0.5718343257904053,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-8x8.pddl,8,402.0,1408.0,14.89453125,0.6156656742095947,True,False
greedy_cg,Greedy (Causal Graph heuristic),exp-9x9.pddl,9,539.0,1087.0,19.515625,0.6286017894744873,True,False
